date,amount,transaction_type,check_number,lender_matches,is_lender_transfer,is_lender_payment,description
10/20,21.34,credit,,,False,False,DEBIT CARD RECURRING PYMT ALLSTATE877-927-72 10-17 SAN FRANCISCO CA 3918
10/20,57.66,credit,,,False,False,DEBIT CARD PURCHASE SPEEDWAY 47007 10-18 LOUISBURG NC 8149
10/20,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/20,2000.00,credit,,,False,False,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 92885CUSTOMER ID W148
10/21,129.25,credit,,,False,False,DEBIT CARD PURCHASE LOWES #00738* 10-20 HENDERSON NC 8149
10/21,1764.71,credit,,,False,False,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID
10/21,9.18,credit,,,False,False,ACH CORP DEBIT TRAN FEE INTUIT 60306303 ROA STAFFINGCUSTOMER ID 524771999465810
10/21,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/21,104.50,credit,,,False,False,SERVICE CHARGES - PRIOR PERIOD
10/22,9.33,credit,,,False,False,ACH CORP DEBIT TRAN FEE INTUIT 62911983 ROA STAFFINGCUSTOMER ID 524771999465810
10/22,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/22,2115.00,credit,,,False,False,ACH CORP DEBIT PAYMENTS BYZFUNDER ROA STAFFING LLCCUSTOMER ID 000000000000036
10/22,36758.33,credit,,,False,False,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251022-00014626
10/23,191.98,credit,,,False,False,DEBIT CARD PURCHASE AMAZON MKTPL*NU7SI 10-22 Amzn.com/bill WA 3918
10/23,66.32,credit,,,False,False,DEBIT CARD PURCHASE SPEEDWAY 47007 10-22 LOUISBURG NC 8149
10/23,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/24,610.00,credit,,,False,False,RECURRING INTERNET PAYMENT Ext Trnsfr JPMorgan Chase 26320631311
10/24,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/24,600.00,credit,,,False,False,ZELLE BUSINESS PAYMENT TO Moises Ortiz PAYMENT ID BBT344205641
10/24,600.00,credit,,,False,False,ZELLE BUSINESS PAYMENT TO Moises Ortiz PAYMENT ID BBT344205762
10/27,38.00,credit,,,False,False,DEBIT CARD RECURRING PYMT INTUIT *QBooks Onl 10-24 CL.INTUIT.COM CA 3918
10/27,53.26,credit,,,False,False,DEBIT CARD PURCHASE SPEEDWAY 47007 10-25 LOUISBURG NC 8149
10/27,75.00,credit,,,False,False,DEBIT CARD RECURRING PYMT BRIGHTSPEED 10-26 833-692-7773 NC 3918
10/27,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/27,2000.00,credit,,,False,False,ACH CORP DEBIT ACHPAYMENT ASPIREFUNDING ROA STAFFING LLC 93250CUSTOMER ID W149
10/28,1764.71,credit,,,False,False,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID
10/28,35.90,credit,,,False,False,ACH CORP DEBIT TRAN FEE INTUIT 77830813 ROA STAFFINGCUSTOMER ID 524771999465810
10/28,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/29,691.13,credit,,,False,False,DEBIT CARD RECURRING PYMT ALLSTATE *PAYME 10-28 800-255-7828 IL 3918
10/29,89.17,credit,,,False,False,DEBIT CARD PURCHASE TRACTOR SUPPLY #22 10-28 LOUISBURG NC 8149
10/29,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/29,21767.77,credit,,,False,False,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251029-00019725
10/30,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/31,49.99,credit,,,False,False,DEBIT CARD RECURRING PYMT GOTHAM HAPymt2of4 10-30 866-783-8247 CT 8149
10/31,157.61,credit,,,False,False,DEBIT CARD PURCHASE NCDMV REG 081 LOUI 10-30 LOUISBURG NC 8149
10/31,1179.80,credit,,,False,False,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID
10/14,1828.10,credit,,,False,False,DEPOSIT INTUIT 30788943 ROA STAFFING CUSTOMER ID 524771999465810
10/14,5021.84,credit,,,False,False,MOBILE DEPOSIT
10/15,8078.70,credit,,,False,False,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID
10/17,5178.99,credit,,,False,False,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753
10/17,5478.31,credit,,,False,False,EDI PYMNTS ATLANTIC CORP OF 0010ROA STAFFING LLC CUSTOMER ID 001489861424410
10/20,3756.62,credit,,,False,False,MOBILE DEPOSIT
10/20,4036.63,credit,,,False,False,MOBILE DEPOSIT
10/20,8027.05,credit,,,False,False,MOBILE DEPOSIT
10/20,15426.50,credit,,,False,False,2025-10-20 LIVE COMFORTABLY ROA STAFFING LLC CUSTOMER ID
10/21,918.00,credit,,,False,False,DEPOSIT INTUIT 50356593 ROA STAFFING CUSTOMER ID 524771999465810
10/21,20958.65,credit,,,False,False,EDI PYMNTS ATLANTIC CORP OF 0011ROA STAFFING LLC CUSTOMER ID 001490251270110
10/22,932.89,credit,,,False,False,DEPOSIT INTUIT 52996343 ROA STAFFING CUSTOMER ID 524771999465810
10/22,3784.70,credit,,,False,False,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID
10/24,3810.31,credit,,,False,False,MOBILE DEPOSIT
10/24,4799.46,credit,,,False,False,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753
10/24,7777.18,credit,,,False,False,MOBILE DEPOSIT
10/27,3352.45,credit,,,False,False,MOBILE DEPOSIT
10/28,1763.11,credit,,,False,False,DEPOSIT INTUIT 68258153 ROA STAFFING CUSTOMER ID 524771999465810
10/29,3764.70,credit,,,False,False,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID
10/30,1200.47,credit,,,False,False,2025-10-30 LIVE COMFORTABLY ROA STAFFING LLC CUSTOMER ID
10/31,4437.80,credit,,,False,False,MOBILE DEPOSIT
10/31,4546.24,credit,,,False,False,PAYABLES C THE HANOR CO ROA STAFFING LLC CUSTOMER ID 009753
